"Subj","File","Word","Consonant","MinIntensity","Vowel","MaxIntensity","IntensityDifference","test_perc","test_cefr","Context"
"178","fcd260603","fcd260603_t1.wav","SÁBADO","d",59.3273775980232,"o",65.877066222261,6.54968862423779,40,"B1","medial"
"179","fcd260603","fcd260603_t1.wav","DEL","d",54.2913798509742,"e",67.2736035533218,12.9822237023475,40,"B1","initial"
"180","fcd260603","fcd260603_t1.wav","LLEVABA","b",57.6265167445562,"a",71.2789255802816,13.6524088357254,40,"B1","medial"
"181","fcd260603","fcd260603_t1.wav","LLEVABA","b",64.3083679051591,"a",71.4959280997843,7.18756019462523,40,"B1","medial"
"182","fcd260603","fcd260603_t1.wav","ESTADIO","d",62.0913047139929,"i",65.8099628699992,3.71865815600636,40,"B1","medial"
"183","fcd260603","fcd260603_t1.wav","DE","d",53.8797700035243,"e",63.9739510038611,10.0941810003368,40,"B1","initial"
"184","fcd260603","fcd260603_t1.wav","CIUDAD","d",60.3898749117996,"a",70.4728503060025,10.0829753942029,40,"B1","medial"
"185","fcd260603","fcd260603_t1.wav","CIUDAD","d",13.7070221616797,"sp",18.0179561337255,4.3109339720458,40,"B1","final"
"186","fcd260603","fcd260603_t1.wav","PARTIDO","d",64.3022852215948,"o",70.6996322526574,6.39734703106258,40,"B1","medial"
"187","fcd260603","fcd260603_t1.wav","DE","d",62.4361934644336,"e",63.5735411409625,1.13734767652888,40,"B1","initial"
"188","fcd260603","fcd260603_t1.wav","CLUB","b",22.3144883998528,"sp",57.5965499659837,35.2820615661309,40,"B1","final"
"189","fcd260603","fcd260603_t1.wav","AMADO","d",58.4079477087708,"o",58.3549768364975,-0.052970872273292,40,"B1","medial"
"190","fcd260603","fcd260603_t1.wav","DESPUÉS","d",60.7803961894543,"e",65.9969101186921,5.21651392923779,40,"B1","initial"
"191","fcd260603","fcd260603_t1.wav","DE","d",27.4885709958191,"e",67.6122185526483,40.1236475568291,40,"B1","initial"
"192","fcd260603","fcd260603_t1.wav","GRITAR","g",28.6684062382549,"r",35.8383821444955,7.16997590624065,40,"B1","initial"
"199","fcd260603","fcd260603_t1.wav","BATIDO","b",15.8701541697532,"a",48.0019858640437,32.1318316942905,40,"B1","initial"
"200","fcd260603","fcd260603_t1.wav","BATIDO","d",57.6683151452873,"o",70.0888707046593,12.420555559372,40,"B1","medial"
"201","fcd260603","fcd260603_t1.wav","DE","d",29.9275414722154,"e",66.9794977045502,37.0519562323347,40,"B1","initial"
"203","fcd260603","fcd260603_t1.wav","DE","d",22.4285945653333,"e",67.8739220927552,45.4453275274219,40,"B1","initial"
"205","fcd260603","fcd260603_t1.wav","DE","d",29.0793945949347,"e",65.8943551120981,36.8149605171634,40,"B1","initial"
"206","fcd260603","fcd260603_t1.wav","GALLETAS","g",53.0133302005072,"a",71.3053309818415,18.2920007813343,40,"B1","initial"
"207","fcd260603","fcd260603_t1.wav","GANABA","g",53.1757398203495,"a",67.6621908143067,14.4864509939573,40,"B1","initial"
"208","fcd260603","fcd260603_t1.wav","GANABA","b",63.3045383733888,"a",66.5050756716925,3.20053729830373,40,"B1","medial"
